date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:11:12	96015/96015	---M-Z	200	added ('OK')	text/html	etag:W/%2267dfa885-1770f%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html	(from )
05:11:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267ec4385-239b%22	https://dccrsorgi1.github.io/robots.txt		(from )
05:11:13	4594/4594	---M--	200	added ('OK')	image/png	etag:%2267dfa885-11f2%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:13	232827/232827	---M-Z	200	added ('OK')	text/css	etag:W/%2267dfa885-38d7b%22	https://dccrsorgi1.github.io/IOOI/cdn.jsdelivr.net/npm/bootstrap%405.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:13	234371/234371	---M--	200	added ('OK')	image/png	etag:%2267dfa885-39383%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:14	0/0	---M--	200	added ('OK')	text/css	etag:%2267dfa885-0%22	https://dccrsorgi1.github.io/IOOI//material-icons.css	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/material-icons.css	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:14	346789/346789	---M-Z	200	added ('OK')	text/css	etag:W/%2267dfa885-54aa5%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:14	94546/94546	---M--	200	added ('OK')	image/png	etag:%2267dfa885-17152%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:14	3853/3853	---M--	200	added ('OK')	image/png	etag:%2267dfa885-f0d%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:14	5318/5318	---M--	200	added ('OK')	image/png	etag:%2267dfa885-14c6%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/emblem.png	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/emblem.png	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
05:11:14	13650/13650	---M--	200	added ('OK')	image/png	etag:%2267dfa885-3552%22	https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	C:/My%20Web%20Sites/E/dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	(from https://dccrsorgi1.github.io/IOOI/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef760.html)
